Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK
2004,28/11/2024,7.35,819,20,NON_EURO,5.5,2200,1.336363636,0.372272727,<2010,0.2,0.067272727,-0.125545455,FALSE
2004,05/09/2023,1.2,110,19,NON_EURO,5.5,2200,0.218181818,0.05,<2010,0.2,-0.156363636,-0.19,TRUE
2004,12/07/2023,7.76,676,19,NON_EURO,5.5,2200,1.410909091,0.307272727,<2010,0.2,0.082181818,-0.138545455,FALSE
2004,29/08/2023,4.94,315,19,NON_EURO,5.5,2200,0.898181818,0.143181818,<2010,0.2,-0.020363636,-0.171363636,TRUE
2004,17/01/2023,2.11,1.856,19,NON_EURO,5.5,2200,0.383636364,0.000843636,<2010,0.2,-0.123272727,-0.199831273,TRUE
2004,14/03/2023,7.17,8900,19,NON_EURO,5.5,2200,1.303636364,4.045454545,<2010,0.2,0.060727273,0.609090909,FALSE
2004,05/10/2023,8.09,1676,19,NON_EURO,5.5,2200,1.470909091,0.761818182,<2010,0.2,0.094181818,-0.047636364,FALSE
2004,05/06/2023,7.79,1004,19,NON_EURO,5.5,2200,1.416363636,0.456363636,<2010,0.2,0.083272727,-0.108727273,FALSE
2004,29/08/2023,6.68,571,19,NON_EURO,5.5,2200,1.214545455,0.259545455,<2010,0.2,0.042909091,-0.148090909,FALSE
2004,05/09/2023,0.82,482,19,NON_EURO,5.5,2200,0.149090909,0.219090909,<2010,0.2,-0.170181818,-0.156181818,TRUE
2004,02/09/2023,0.25,1297,19,NON_EURO,5.5,2200,0.045454545,0.589545455,<2010,0.2,-0.190909091,-0.082090909,TRUE
2004,22/11/2023,9.99,221,19,NON_EURO,5.5,2200,1.816363636,0.100454545,<2010,0.2,0.163272727,-0.179909091,FALSE
2004,06/09/2023,4.47,156,19,NON_EURO,5.5,2200,0.812727273,0.070909091,<2010,0.2,-0.037454545,-0.185818182,TRUE
2004,27/08/2023,5.14,482,19,NON_EURO,5.5,2200,0.934545455,0.219090909,<2010,0.2,-0.013090909,-0.156181818,TRUE
2004,03/09/2023,1.78,1200,19,NON_EURO,5.5,2200,0.323636364,0.545454545,<2010,0.2,-0.135272727,-0.090909091,TRUE
2004,17/05/2023,3.12,491,19,NON_EURO,5.5,2200,0.567272727,0.223181818,<2010,0.2,-0.086545455,-0.155363636,TRUE
2004,13/02/2024,7.62,1981,20,NON_EURO,5.5,2200,1.385454545,0.900454545,<2010,0.2,0.077090909,-0.019909091,FALSE
2004,29/08/2023,0.14,672,19,NON_EURO,5.5,2200,0.025454545,0.305454545,<2010,0.2,-0.194909091,-0.138909091,TRUE
2004,20/02/2025,9.99,4110,21,NON_EURO,5.5,2200,1.816363636,1.868181818,<2010,0.2,0.163272727,0.173636364,FALSE
2004,22/11/2023,0,1047,19,NON_EURO,5.5,2200,0,0.475909091,<2010,0.2,-0.2,-0.104818182,TRUE
2004,10/10/2023,5.96,866,19,NON_EURO,5.5,2200,1.083636364,0.393636364,<2010,0.2,0.016727273,-0.121272727,FALSE
2004,21/11/2024,1.3,1800,20,NON_EURO,5.5,2200,0.236363636,0.818181818,<2010,0.2,-0.152727273,-0.036363636,TRUE
2004,29/08/2023,5.71,2009,19,NON_EURO,5.5,2200,1.038181818,0.913181818,<2010,0.2,0.007636364,-0.017363636,FALSE
2004,21/08/2023,2.15,150,19,NON_EURO,5.5,2200,0.390909091,0.068181818,<2010,0.2,-0.121818182,-0.186363636,TRUE
2004,17/07/2024,4.08,2000,20,NON_EURO,5.5,2200,0.741818182,0.909090909,<2010,0.2,-0.051636364,-0.018181818,TRUE
2004,25/08/2023,2.23,299,19,NON_EURO,5.5,2200,0.405454545,0.135909091,<2010,0.2,-0.118909091,-0.172818182,TRUE
2004,17/09/2023,5.56,1495,19,NON_EURO,5.5,2200,1.010909091,0.679545455,<2010,0.2,0.002181818,-0.064090909,FALSE
2004,07/11/2023,4.29,625,19,NON_EURO,5.5,2200,0.78,0.284090909,<2010,0.2,-0.044,-0.143181818,TRUE
2004,25/10/2023,6.44,475,19,NON_EURO,5.5,2200,1.170909091,0.215909091,<2010,0.2,0.034181818,-0.156818182,FALSE
2004,07/09/2023,1.9,1097,19,NON_EURO,5.5,2200,0.345454545,0.498636364,<2010,0.2,-0.130909091,-0.100272727,TRUE
2004,19/09/2023,8.88,3508,19,NON_EURO,5.5,2200,1.614545455,1.594545455,<2010,0.2,0.122909091,0.118909091,FALSE
2004,22/09/2023,3.77,1151,19,NON_EURO,5.5,2200,0.685454545,0.523181818,<2010,0.2,-0.062909091,-0.095363636,TRUE
2004,08/10/2023,2.84,626,19,NON_EURO,5.5,2200,0.516363636,0.284545455,<2010,0.2,-0.096727273,-0.143090909,TRUE
2004,04/10/2023,0.42,256,19,NON_EURO,5.5,2200,0.076363636,0.116363636,<2010,0.2,-0.184727273,-0.176727273,TRUE
2005,20/09/2023,3.96,205,18,NON_EURO,5.5,2200,0.72,0.093181818,<2010,0.2,-0.056,-0.181363636,TRUE
2005,19/08/2024,3.81,1274,19,NON_EURO,5.5,2200,0.692727273,0.579090909,<2010,0.2,-0.061454545,-0.084181818,TRUE
2005,08/09/2023,3.49,290,18,NON_EURO,5.5,2200,0.634545455,0.131818182,<2010,0.2,-0.073090909,-0.173636364,TRUE
2005,20/02/2025,6.85,2052,20,NON_EURO,5.5,2200,1.245454545,0.932727273,<2010,0.2,0.049090909,-0.013454545,FALSE
2005,10/09/2023,4.43,106,18,NON_EURO,5.5,2200,0.805454545,0.048181818,<2010,0.2,-0.038909091,-0.190363636,TRUE
2005,28/10/2023,3.86,462,18,NON_EURO,5.5,2200,0.701818182,0.21,<2010,0.2,-0.059636364,-0.158,TRUE
2005,08/10/2024,7.55,1074,19,NON_EURO,5.5,2200,1.372727273,0.488181818,<2010,0.2,0.074545455,-0.102363636,FALSE
2005,02/09/2023,4.13,457,18,NON_EURO,5.5,2200,0.750909091,0.207727273,<2010,0.2,-0.049818182,-0.158454545,TRUE
2005,29/08/2023,8.88,986,18,NON_EURO,5.5,2200,1.614545455,0.448181818,<2010,0.2,0.122909091,-0.110363636,FALSE
2005,20/10/2023,3.25,567,18,NON_EURO,5.5,2200,0.590909091,0.257727273,<2010,0.2,-0.081818182,-0.148454545,TRUE
2005,26/02/2025,9.99,7588,20,NON_EURO,5.5,2200,1.816363636,3.449090909,<2010,0.2,0.163272727,0.489818182,FALSE
2005,25/08/2023,9.99,6923,18,NON_EURO,5.5,2200,1.816363636,3.146818182,<2010,0.2,0.163272727,0.429363636,FALSE
2005,31/08/2023,0.88,116,18,NON_EURO,5.5,2200,0.16,0.052727273,<2010,0.2,-0.168,-0.189454545,TRUE
2005,29/08/2023,1.46,735,18,NON_EURO,5.5,2200,0.265454545,0.334090909,<2010,0.2,-0.146909091,-0.133181818,TRUE
2005,17/11/2023,5.421,1827,18,NON_EURO,5.5,2200,0.985636364,0.830454545,<2010,0.2,-0.002872727,-0.033909091,TRUE
2005,17/04/2024,8.18,4180,19,NON_EURO,5.5,2200,1.487272727,1.9,<2010,0.2,0.097454545,0.18,FALSE
2005,14/10/2023,3.81,1800,18,NON_EURO,5.5,2200,0.692727273,0.818181818,<2010,0.2,-0.061454545,-0.036363636,TRUE
2005,23/08/2023,3.02,3605,18,NON_EURO,5.5,2200,0.549090909,1.638636364,<2010,0.2,-0.090181818,0.127727273,FALSE
2005,09/09/2023,7.34,702,18,NON_EURO,5.5,2200,1.334545455,0.319090909,<2010,0.2,0.066909091,-0.136181818,FALSE
2005,23/08/2023,0.95,102,18,NON_EURO,5.5,2200,0.172727273,0.046363636,<2010,0.2,-0.165454545,-0.190727273,TRUE
2005,25/08/2023,3.31,591,18,NON_EURO,5.5,2200,0.601818182,0.268636364,<2010,0.2,-0.079636364,-0.146272727,TRUE
2005,10/10/2023,3.58,268,18,NON_EURO,5.5,2200,0.650909091,0.121818182,<2010,0.2,-0.069818182,-0.175636364,TRUE
2005,29/08/2023,0.64,459,18,NON_EURO,5.5,2200,0.116363636,0.208636364,<2010,0.2,-0.176727273,-0.158272727,TRUE
2005,12/12/2023,4.55,364,18,NON_EURO,5.5,2200,0.827272727,0.165454545,<2010,0.2,-0.034545455,-0.166909091,TRUE
2005,10/05/2023,4.88,819,18,NON_EURO,5.5,2200,0.887272727,0.372272727,<2010,0.2,-0.022545455,-0.125545455,TRUE
2005,09/09/2023,4.54,1327,18,NON_EURO,5.5,2200,0.825454545,0.603181818,<2010,0.2,-0.034909091,-0.079363636,TRUE
2005,25/08/2023,1.8,415,18,NON_EURO,5.5,2200,0.327272727,0.188636364,<2010,0.2,-0.134545455,-0.162272727,TRUE
2005,31/08/2023,2.49,1.85,18,NON_EURO,5.5,2200,0.452727273,0.000840909,<2010,0.2,-0.109454545,-0.199831818,TRUE
2005,21/09/2023,3.69,862,18,NON_EURO,5.5,2200,0.670909091,0.391818182,<2010,0.2,-0.065818182,-0.121636364,TRUE
2005,22/02/2024,7.65,563,19,NON_EURO,5.5,2200,1.390909091,0.255909091,<2010,0.2,0.078181818,-0.148818182,FALSE
2005,19/09/2023,4.33,397,18,NON_EURO,5.5,2200,0.787272727,0.180454545,<2010,0.2,-0.042545455,-0.163909091,TRUE
2005,07/02/2025,6.32,1355,20,NON_EURO,5.5,2200,1.149090909,0.615909091,<2010,0.2,0.029818182,-0.076818182,FALSE
2005,06/09/2023,3.99,228,18,NON_EURO,5.5,2200,0.725454545,0.103636364,<2010,0.2,-0.054909091,-0.179272727,TRUE
2005,07/09/2023,2.53,410,18,NON_EURO,5.5,2200,0.46,0.186363636,<2010,0.2,-0.108,-0.162727273,TRUE
2005,08/09/2023,3.4,9476,18,NON_EURO,5.5,2200,0.618181818,4.307272727,<2010,0.2,-0.076363636,0.661454545,FALSE
2005,13/09/2023,2.03,269,18,NON_EURO,5.5,2200,0.369090909,0.122272727,<2010,0.2,-0.126181818,-0.175545455,TRUE
2005,19/10/2023,2.23,1352,18,NON_EURO,5.5,2200,0.405454545,0.614545455,<2010,0.2,-0.118909091,-0.077090909,TRUE
2005,03/09/2023,0.33,497,18,NON_EURO,5.5,2200,0.06,0.225909091,<2010,0.2,-0.188,-0.154818182,TRUE
2005,31/10/2023,3.9,237,18,NON_EURO,5.5,2200,0.709090909,0.107727273,<2010,0.2,-0.058181818,-0.178454545,TRUE
2005,19/11/2024,2.13,179,19,NON_EURO,5.5,2200,0.387272727,0.081363636,<2010,0.2,-0.122545455,-0.183727273,TRUE
2005,06/11/2023,3.4,1833,18,NON_EURO,5.5,2200,0.618181818,0.833181818,<2010,0.2,-0.076363636,-0.033363636,TRUE
