Tanggal,Kategori,Klasifikasi,Kelas,Bahan Bakar,Tahun Pembuatan,Sistem Pembakaran,CC,Tonnase,Jarak Tempuh,Opasitas,Tahun Uji,Usia Kendaraan,Baku Mutu Opasitas,Opasitas_ratio,segmen_tahun,Euro,alpha,Koreksi_Opasitas,LULUS/TIIDAK
06/10/2015,M,C,D1,Solar,2003,Diesel,2800,3,287045,37.6,2015,12,65,0.578461538,<2010,NON_EURO,0.3,-0.126461539,TRUE
26/04/2018,M,C,D1,Solar,2004,Diesel,2477,2.5,3886,68.1,2018,14,65,1.047692308,<2010,NON_EURO,0.3,0.014307692,FALSE
23/09/2014,M,C,D3,Solar,2004,Diesel,2500,1540,347893,21.7,2014,10,65,0.333846154,<2010,NON_EURO,0.3,-0.199846154,TRUE
17/09/2013,M,C,D1,Solar,2004,Diesel,4000,3.5,293440,34.9,2013,9,65,0.536923077,<2010,NON_EURO,0.3,-0.138923077,TRUE
07/10/2015,M,C,D1,Solar,2004,Diesel,2500,3,38047,11.8,2015,11,65,0.181538462,<2010,NON_EURO,0.3,-0.245538461,TRUE
23/09/2014,M,C,D3,Solar,2004,Diesel,2500,1120,56633,36.5,2014,10,65,0.561538462,<2010,NON_EURO,0.3,-0.131538461,TRUE
06/11/2024 00:00,,C,,,2004,,,,,26.9,,20,65,0.413846154,<2010,NON_EURO,0.3,-0.175846154,TRUE
31/08/2023 00:00,,C,,,2004,,,,,35,,19,50,0.7,<2010,NON_EURO,0.3,-0.09,TRUE
11/05/2016,M,C,D1,Solar,2004,Diesel,2500,3.5,97878,28.3,2016,12,65,0.435384615,<2010,NON_EURO,0.3,-0.169384615,TRUE
26/04/2016,M,C,D1,Solar,2004,Diesel,2500,3,210937,89.5,2016,12,65,1.376923077,<2010,NON_EURO,0.3,0.113076923,FALSE
21/11/2023 00:00,,C,,,2004,,,,,33.5,,19,65,0.515384615,<2010,NON_EURO,0.3,-0.145384615,TRUE
01/06/2016,M,C,D3,Solar,2004,Diesel,4000,28,409817,37.8,2016,12,65,0.581538462,<2010,NON_EURO,0.3,-0.125538461,TRUE
08/10/2015,M,C,D1,Solar,2004,Diesel,2500,3,171214,61.4,2015,11,65,0.944615385,<2010,NON_EURO,0.3,-0.016615385,TRUE
29/03/2022,M,C,D3,Solar,2004,Diesel,3298,30,377095,83.4,2022,18,65,1.283076923,<2010,NON_EURO,0.3,0.084923077,FALSE
11/06/2024 00:00,,C,,,2004,,,,,14,,20,65,0.215384615,<2010,NON_EURO,0.3,-0.235384615,TRUE
18/09/2013,M,C,D1,Solar,2004,Diesel,3500,3.5,33146,37.7,2013,9,65,0.58,<2010,NON_EURO,0.3,-0.126,TRUE
